,AMD,INTEL,NVIDIA,OTHER
Enero 2020,15.28,9.6,74.96,0.16
Febrero 2020,15.74,9.74,74.38,0.14
Marzo 2020,13.38,8.6,77.87,0.15
Abril 2020,15.85,10.73,73.28,0.14
Mayo 2020,15.98,10.63,73.23,0.16
Junio 2020,16.23,10.1,73.53,0.14
Julio 2020,16.04,9.55,74.27,0.14
Agosto 2020,16.25,9.8,73.82,0.13
Septiembre 2020,16.29,9.71,73.88,0.12
Octubre 2020,16.08,9.51,74.29,0.12
Noviembre 2020,16.53,9.48,73.86,0.13
Diciembre 2020,10.84,5.9,83.16,0.1
Enero 2020,16.49,8.96,74.41,0.14
Febrero 2020,16.28,8.76,74.83,0.13
Marzo 2020,16.18,8.28,75.41,0.13
