Fecha,AMD,INTEL
dic-08,33.51,66.48
ene-09,33.51,66.48
feb-09,33.51,66.48
mar-09,33.51,66.48
abr-09,33.51,66.48
may-09,33.51,66.48
jun-09,33.51,66.48
jul-09,33.51,66.48
ago-09,33.51,66.48
sep-09,33.51,66.48
oct-09,33.51,66.48
nov-09,33.51,66.48
dic-09,33.51,66.48
ene-10,33.51,66.48
feb-10,33.51,66.48
mar-10,33.51,66.48
abr-10,33.51,66.48
may-10,33.51,66.48
jun-10,27.63,72.37
jul-10,27.63,72.37
ago-10,27.63,72.37
sep-10,27.63,72.37
oct-10,27.63,72.37
nov-10,27.63,72.37
dic-10,27.63,72.37
ene-11,27.63,72.37
feb-11,27.63,72.37
mar-11,27.63,72.37
abr-11,27.63,72.37
may-11,27.63,72.37
jun-11,27.63,72.37
jul-11,27.63,72.37
ago-11,27.63,72.37
sep-11,27.63,72.37
oct-11,27.63,72.37
nov-11,26.1,73.9
dic-11,26.83,73.17
ene-12,26.48,73.52
feb-12,26.38,73.62
mar-12,28.49,71.51
abr-12,28.49,71.51
may-12,28.09,71.91
jun-12,27.96,72.04
jul-12,27.81,72.19
ago-12,27.58,72.42
sep-12,27.4,72.6
oct-12,27.25,72.75
nov-12,26.64,73.36
dic-12,26.78,73.22
ene-13,26.88,73.12
feb-13,26.71,73.29
mar-13,26.5,73.5
abr-13,26.59,73.41
may-13,26.59,73.41
jun-13,26.66,73.34
jul-13,26.45,73.55
ago-13,26.4,73.6
sep-13,26.49,73.51
oct-13,25.97,74.03
nov-13,25.89,74.11
dic-13,25.93,74.07
ene-14,26.21,73.79
feb-14,25.82,74.18
mar-14,26.27,73.73
abr-14,26.31,73.69
may-14,26.21,73.79
jun-14,25.82,74.18
jul-14,26.27,73.73
ago-14,26.31,73.69
sep-14,25.59,74.41
oct-14,25.41,74.59
nov-14,25.55,74.45
dic-14,25.64,74.36
ene-15,25.64,74.36
feb-15,25.61,74.39
mar-15,25.58,74.42
abr-15,25.02,74.98
may-15,25.58,74.42
jun-15,25,75
jul-15,24.73,75.27
ago-15,24.49,75.51
sep-15,24.5,75.5
oct-15,23.97,76.03
nov-15,23.69,76.31
dic-15,23.74,76.26
ene-16,23.69,76.31
feb-16,23.96,76.04
mar-16,23.37,76.63
abr-16,23.32,76.68
may-16,23.29,76.71
jun-16,22.87,77.13
jul-16,22.78,77.22
ago-16,22.64,77.36
sep-16,22.28,77.72
oct-16,21.93,78.07
nov-16,21.54,78.46
dic-16,21.39,78.61
ene-17,21.54,78.46
feb-17,20.43,79.57
mar-17,20.28,79.72
abr-17,20.28,79.72
may-17,19.79,80.21
jun-17,19.01,80.99
jul-17,19.42,80.58
ago-17,18.05,81.95
sep-17,16.52,83.48
oct-17,10.32,89.68
nov-17,8.29,91.71
dic-17,8.71,91.29
ene-18,8.03,91.97
feb-18,8.07,91.93
mar-18,11.15,88.85
abr-18,15.96,84.04
may-18,16.33,83.67
jun-18,16.22,83.78
jul-18,15.17,84.83
ago-18,16.44,83.56
sep-18,16.08,83.92
oct-18,15.65,84.35
nov-18,17.21,82.79
dic-18,17.58,82.42
ene-19,17.9,82.1
feb-19,18.02,81.98
mar-19,18.14,81.86
abr-19,18.26,81.74
may-19,18.01,81.99
jun-19,17.88,82.12
jul-19,17.99,82.01
ago-19,18.95,81.05
sep-19,19.37,80.63
oct-19,19.39,80.61
nov-19,19.45,80.55
dic-19,19.38,80.62
ene-20,21.36,78.64
feb-20,21.39,78.61
mar-20,21.15,78.85
abr-20,22,78
may-20,22.45,77.55
jun-20,23.55,76.45
jul-20,23.73,76.27
ago-20,24.91,75.09
sep-20,25.75,74.25
oct-20,25.79,74.21
nov-20,26.51,73.49
dic-20,25,75
ene-21,27.99,72.01
feb-21,28.51,71.49
mar-21,28.97,71.03
